human,mouse,DB
ALG1L,Alg1,Ensembl/Biomart
ALG1L2,Alg1,Ensembl/Biomart
ALPG,Akp3,Ensembl/Biomart
ALPG,Alpi,Ensembl/Biomart
ALPI,Alpi,Ensembl/Biomart
ALPI,Alppl2,Ensembl/Biomart
ALPP,Akp3,Ensembl/Biomart
ALPP,Alppl2,Ensembl/Biomart
ALS2CR12,Als2cr12,Ensembl/Biomart
ALYREF,4931428L18Rik,Ensembl/Biomart
ALYREF,Alyref,Ensembl/Biomart
ALYREF,Alyref2,Ensembl/Biomart
ALYREF,Gm20765,Ensembl/Biomart
ALYREF,Gm21293,Ensembl/Biomart
ALYREF,Gm21304,Ensembl/Biomart
ALYREF,Gm21312,Ensembl/Biomart
ALYREF,Gm4301,Ensembl/Biomart
ALYREF,Gm4302,Ensembl/Biomart
ALYREF,Gm4303,Ensembl/Biomart
ALYREF,Gm4305,Ensembl/Biomart
ALYREF,Gm4307,Ensembl/Biomart
ALYREF,Gm4312,Ensembl/Biomart
ALYREF,Gm4340,Ensembl/Biomart
ALYREF,Gm6763,Ensembl/Biomart
ALYREF,Gm8764,Ensembl/Biomart
AMELX,Amelx,Ensembl/Biomart
AMZ2,Amz2,Ensembl/Biomart
ANAPC15,Anapc15-ps,Ensembl/Biomart
ANG,Ang2,Ensembl/Biomart
ANG,Ang4,Ensembl/Biomart
ANG,Ang5,Ensembl/Biomart
ANG,Ang6,Ensembl/Biomart
ANK2,Ank2,Ensembl/Biomart
ANKRD23,Gm42417,Ensembl/Biomart
ANKRD40CL,Gm21885,Ensembl/Biomart
ANKRD50,Ankrd50,Ensembl/Biomart
ANKRD62,Ankrd26,Ensembl/Biomart
ANP32A,Anp32a,Ensembl/Biomart
ANP32B,Anp32b,Ensembl/Biomart
ANP32D,Anp32a,Ensembl/Biomart
ANP32E,Anp32e,Ensembl/Biomart
AOC1,1600015I10Rik,Ensembl/Biomart
AOC1,Doxl2,Ensembl/Biomart
AOC1,Svs1,Ensembl/Biomart
AP2B1,Ap2b1,Ensembl/Biomart
AP4B1,Gm43064,Ensembl/Biomart
APH1B,Aph1c,Ensembl/Biomart
APOBEC3H,Apobec3,Ensembl/Biomart
APOC1,Apoc1,Ensembl/Biomart
APOC2,Gm44805,Ensembl/Biomart
APOC3,Apoc3,Ensembl/Biomart
APOC4-APOC2,Apoc4,Ensembl/Biomart
APOL1,Apol10a,Ensembl/Biomart
APOL1,Apol10b,Ensembl/Biomart
APOL1,Apol11a,Ensembl/Biomart
APOL1,Apol11b,Ensembl/Biomart
APOL1,Apol9a,Ensembl/Biomart
APOL1,Apol9b,Ensembl/Biomart
APOL2,Apol10a,Ensembl/Biomart
APOL2,Apol10b,Ensembl/Biomart
APOL2,Apol11a,Ensembl/Biomart
APOL2,Apol11b,Ensembl/Biomart
APOL2,Apol9a,Ensembl/Biomart
APOL2,Apol9b,Ensembl/Biomart
APOL3,Apol10a,Ensembl/Biomart
APOL3,Apol10b,Ensembl/Biomart
APOL3,Apol11a,Ensembl/Biomart
APOL3,Apol11b,Ensembl/Biomart
APOL3,Apol9a,Ensembl/Biomart
APOL3,Apol9b,Ensembl/Biomart
APOL4,Apol10a,Ensembl/Biomart
APOL4,Apol10b,Ensembl/Biomart
APOL4,Apol11a,Ensembl/Biomart
APOL4,Apol11b,Ensembl/Biomart
APOL4,Apol9a,Ensembl/Biomart
APOL4,Apol9b,Ensembl/Biomart
ARFIP1,Gm37240,Ensembl/Biomart
ARHGAP19-SLIT1,Arhgap19,Ensembl/Biomart
ARHGEF38,Arhgef38,Ensembl/Biomart
ARL17A,Arf2,Ensembl/Biomart
ARL17B,Arf2,Ensembl/Biomart
ARPC4-TTLL3,Ttll3,Ensembl/Biomart
ASAH2B,Asah2,Ensembl/Biomart
ASMT,Asmt,Ensembl/Biomart
ASNSD1,Gm28551,Ensembl/Biomart
ASPHD1,Asphd1,Ensembl/Biomart
ATF7,Gm28047,Ensembl/Biomart
ATG4A,Atg4a-ps,Ensembl/Biomart
ATN1,Gm45234,Ensembl/Biomart
ATP10D,Atp10d,Ensembl/Biomart
ATP5F1E,Atp5e,Ensembl/Biomart
ATP5MD,Usmg5,Ensembl/Biomart
ATP5ME,Atp5k,Ensembl/Biomart
ATP5MG,Gm5426,Ensembl/Biomart
ATP5MGL,Atp5l,Ensembl/Biomart
ATP5MGL,Gm5426,Ensembl/Biomart
ATP6AP1L,Atp6ap1l,Ensembl/Biomart
ATP6V1G2-DDX39B,Atp6v1g2,Ensembl/Biomart
B3GNT10,Gm34653,Ensembl/Biomart
BCL2A1,Bcl2a1c,Ensembl/Biomart
BCL2A1,Gm29094,Ensembl/Biomart
BCL2L2-PABPN1,Gm20521,Ensembl/Biomart
BECN2,Gm38100,Ensembl/Biomart
BEND2,Gm15262,Ensembl/Biomart
BEX1,Bex1,Ensembl/Biomart
BEX2,Bex1,Ensembl/Biomart
BEX2,Bex2,Ensembl/Biomart
BEX4,Bex6,Ensembl/Biomart
BHLHE41,Bhlhe41,Ensembl/Biomart
BHMG1,Gm4969,Ensembl/Biomart
BHMT,Gm5096,Ensembl/Biomart
BIRC8,Xiap,Ensembl/Biomart
BIVM-ERCC5,Bivm,Ensembl/Biomart
BLOC1S5-TXNDC5,Bloc1s5,Ensembl/Biomart
BMI1,Bmi1,Ensembl/Biomart
BOD1L2,Bod1,Ensembl/Biomart
BOLA2,Bola2,Ensembl/Biomart
BOLA2B,Bola2,Ensembl/Biomart
BORCS7-ASMT,Borcs7,Ensembl/Biomart
BORCS8-MEF2B,Mef2b,Ensembl/Biomart
BPIFA1,Bpifa5,Ensembl/Biomart
BRD4,Brd4,Ensembl/Biomart
BST2,Bst2,Ensembl/Biomart
BTBD19,Btbd19,Ensembl/Biomart
BTBD3,Btbd3,Ensembl/Biomart
BTBD8,Gm42669,Ensembl/Biomart
BTN3A1,Gm36028,Ensembl/Biomart
BUB1B-PAK6,Pak6,Ensembl/Biomart
BUD31,Bud31,Ensembl/Biomart
C10orf67,4921504E06Rik,Ensembl/Biomart
C10orf95,2310034G01Rik,Ensembl/Biomart
C10orf99,2610528A11Rik,Ensembl/Biomart
C12orf40,CN725425,Ensembl/Biomart
C12orf75,1500009L16Rik,Ensembl/Biomart
C13orf42,Gm4131,Ensembl/Biomart
C13orf46,1700029H14Rik,Ensembl/Biomart
C14orf132,D430019H16Rik,Ensembl/Biomart
C16orf45,2900011O08Rik,Ensembl/Biomart
C16orf74,Gm27021,Ensembl/Biomart
C17orf47,Gm11492,Ensembl/Biomart
C19orf33,2200002D01Rik,Ensembl/Biomart
C19orf85,Gm36210,Ensembl/Biomart
C1orf122,1110065P20Rik,Ensembl/Biomart
C1orf141,4921539E11Rik,Ensembl/Biomart
C1orf232,Gm30191,Ensembl/Biomart
C1QTNF3-AMACR,C1qtnf3,Ensembl/Biomart
C1QTNF9,C1qtnf9,Ensembl/Biomart
C20orf144,1700003F12Rik,Ensembl/Biomart
C20orf204,Gm29797,Ensembl/Biomart
C21orf58,2610028H24Rik,Ensembl/Biomart
C22orf39,2510002D24Rik,Ensembl/Biomart
C22orf39,Gm28539,Ensembl/Biomart
C22orf46,4930407I10Rik,Ensembl/Biomart
C2CD6,C2cd6,Ensembl/Biomart
C2orf78,4930433I11Rik,Ensembl/Biomart
C2orf78,Gm4884,Ensembl/Biomart
C2orf78,Gm5114,Ensembl/Biomart
C2orf78,Gm5591,Ensembl/Biomart
C2orf78,Gm5592,Ensembl/Biomart
C2orf80,Gm28845,Ensembl/Biomart
C2orf92,4933424G06Rik,Ensembl/Biomart
C3orf22,BC048671,Ensembl/Biomart
C3orf85,Gm5485,Ensembl/Biomart
C4A,C4b,Ensembl/Biomart
C4BPA,C4bp,Ensembl/Biomart
C4orf3,1810037I17Rik,Ensembl/Biomart
C4orf48,Gm1673,Ensembl/Biomart
C6orf106,D17Wsu92e,Ensembl/Biomart
C6orf132,AI661453,Ensembl/Biomart
C6orf226,2310039H08Rik,Ensembl/Biomart
C6orf58,2310057J18Rik,Ensembl/Biomart
C7orf43,BC037034,Ensembl/Biomart
C8orf59,1810022K09Rik,Ensembl/Biomart
C8orf76,Gm29394,Ensembl/Biomart
C9orf3,2010111I01Rik,Ensembl/Biomart
CABP1,Cabp1,Ensembl/Biomart
CALCA,Calca,Ensembl/Biomart
CALCB,Calcb,Ensembl/Biomart
CALCOCO2,Calcoco2,Ensembl/Biomart
CALD1,Cald1,Ensembl/Biomart
CALHM3,Calhm3,Ensembl/Biomart
CALM1,Calm1,Ensembl/Biomart
CALM2,Calm2,Ensembl/Biomart
CALM3,Calm3,Ensembl/Biomart
CALML5,Calm5,Ensembl/Biomart
CAPZA1,4933400A11Rik,Ensembl/Biomart
CARD16,Casp1,Ensembl/Biomart
CARD17,Casp1,Ensembl/Biomart
CASP12,Casp12,Ensembl/Biomart
CATIP,Catip,Ensembl/Biomart
CBARP,Cbarp,Ensembl/Biomart
CBR1,Gm5678,Ensembl/Biomart
CBWD3,Cbwd1,Ensembl/Biomart
CBWD5,Cbwd1,Ensembl/Biomart
CBWD6,Cbwd1,Ensembl/Biomart
CC2D2B,Cc2d2b,Ensembl/Biomart
CCDC142,Gm42688,Ensembl/Biomart
CCDC168,Gm8251,Ensembl/Biomart
CCDC179,1700015G11Rik,Ensembl/Biomart
CCDC195,Gm45261,Ensembl/Biomart
CCDC196,Gm6657,Ensembl/Biomart
CCDC24,Ccdc24,Ensembl/Biomart
CCDC30,Ccdc30,Ensembl/Biomart
CCDC50,Ccdc50,Ensembl/Biomart
CCDC69,Ccdc69,Ensembl/Biomart
CCDC71,Ccdc71,Ensembl/Biomart
CCDC74A,Ccdc74a,Ensembl/Biomart
CCDC74B,Ccdc74a,Ensembl/Biomart
CCL2,Ccl2,Ensembl/Biomart
CCL27,Ccl27a,Ensembl/Biomart
CCL7,Ccl7,Ensembl/Biomart
CCL8,Ccl12,Ensembl/Biomart
CCL8,Ccl8,Ensembl/Biomart
CCNJL,Ccnjl,Ensembl/Biomart
CCR1,Ccr1l1,Ensembl/Biomart
CD1D,Cd1d2,Ensembl/Biomart
CD200R1,Cd200r2,Ensembl/Biomart
CD200R1,Cd200r3,Ensembl/Biomart
CD200R1,Cd200r4,Ensembl/Biomart
CD200R1L,Cd200r1,Ensembl/Biomart
CD200R1L,Cd200r3,Ensembl/Biomart
CD209,Cd209a,Ensembl/Biomart
CD209,Cd209b,Ensembl/Biomart
CD209,Cd209c,Ensembl/Biomart
CD209,Cd209d,Ensembl/Biomart
CD300LD,Cd300a,Ensembl/Biomart
CD300LF,Cd300ld,Ensembl/Biomart
CD300LF,Cd300ld2,Ensembl/Biomart
CD300LF,Cd300ld3,Ensembl/Biomart
CD300LF,Cd300ld4,Ensembl/Biomart
CD300LF,Cd300ld5,Ensembl/Biomart
CD33,Cd33,Ensembl/Biomart
CD33,Siglecf,Ensembl/Biomart
CD33,Siglech,Ensembl/Biomart
CD52,Cd52,Ensembl/Biomart
CD59,Cd59a,Ensembl/Biomart
CD8B2,Cd8b1,Ensembl/Biomart
CDC14C,Cdc14b,Ensembl/Biomart
CDC34,Cdc34b,Ensembl/Biomart
CDC5L,Gm32717,Ensembl/Biomart
CDC5L,Gm32802,Ensembl/Biomart
CDC5L,Gm9040,Ensembl/Biomart
CDC5L,Gm9044,Ensembl/Biomart
CDC5L,Gm9045,Ensembl/Biomart
CDC5L,Gm9046,Ensembl/Biomart
CDC5L,Gm9048,Ensembl/Biomart
CDC5L,Gm9049,Ensembl/Biomart
CDK11B,Cdk11b,Ensembl/Biomart
CDK2AP1,Gm12184,Ensembl/Biomart
CDK3,Cdk3-ps,Ensembl/Biomart
CDKN1C,Cdkn1c,Ensembl/Biomart
CDR1,Cdr1,Ensembl/Biomart
CDSN,Cdsn,Ensembl/Biomart
CEACAM1,Ceacam11,Ensembl/Biomart
CEACAM1,Ceacam12,Ensembl/Biomart
CEACAM1,Ceacam13,Ensembl/Biomart
CEACAM1,Ceacam14,Ensembl/Biomart
CEACAM1,Ceacam3,Ensembl/Biomart
CEACAM1,Ceacam5,Ensembl/Biomart
CEACAM1,Gm5155,Ensembl/Biomart
CEACAM1,Psg16,Ensembl/Biomart
CEACAM1,Psg17,Ensembl/Biomart
CEACAM1,Psg18,Ensembl/Biomart
CEACAM1,Psg19,Ensembl/Biomart
CEACAM1,Psg20,Ensembl/Biomart
CEACAM1,Psg21,Ensembl/Biomart
CEACAM1,Psg22,Ensembl/Biomart
CEACAM1,Psg23,Ensembl/Biomart
CEACAM1,Psg25,Ensembl/Biomart
CEACAM1,Psg26,Ensembl/Biomart
CEACAM1,Psg27,Ensembl/Biomart
CEACAM1,Psg28,Ensembl/Biomart
CEACAM1,Psg29,Ensembl/Biomart
CEACAM21,Ceacam11,Ensembl/Biomart
CEACAM21,Ceacam12,Ensembl/Biomart
CEACAM21,Ceacam13,Ensembl/Biomart
CEACAM21,Ceacam14,Ensembl/Biomart
CEACAM21,Ceacam3,Ensembl/Biomart
CEACAM21,Ceacam5,Ensembl/Biomart
CEACAM21,Gm5155,Ensembl/Biomart
CEACAM21,Psg16,Ensembl/Biomart
CEACAM21,Psg17,Ensembl/Biomart
CEACAM21,Psg18,Ensembl/Biomart
CEACAM21,Psg19,Ensembl/Biomart
CEACAM21,Psg20,Ensembl/Biomart
CEACAM21,Psg21,Ensembl/Biomart
CEACAM21,Psg22,Ensembl/Biomart
CEACAM21,Psg23,Ensembl/Biomart
CEACAM21,Psg25,Ensembl/Biomart
CEACAM21,Psg26,Ensembl/Biomart
CEACAM21,Psg27,Ensembl/Biomart
CEACAM21,Psg28,Ensembl/Biomart
CEACAM21,Psg29,Ensembl/Biomart
CEACAM3,Ceacam11,Ensembl/Biomart
CEACAM3,Ceacam12,Ensembl/Biomart
CEACAM3,Ceacam13,Ensembl/Biomart
CEACAM3,Ceacam14,Ensembl/Biomart
CEACAM3,Ceacam3,Ensembl/Biomart
CEACAM3,Ceacam5,Ensembl/Biomart
CEACAM3,Gm5155,Ensembl/Biomart
CEACAM3,Psg16,Ensembl/Biomart
CEACAM3,Psg17,Ensembl/Biomart
CEACAM3,Psg18,Ensembl/Biomart
CEACAM3,Psg19,Ensembl/Biomart
CEACAM3,Psg20,Ensembl/Biomart
CEACAM3,Psg21,Ensembl/Biomart
CEACAM3,Psg22,Ensembl/Biomart
CEACAM3,Psg23,Ensembl/Biomart
CEACAM3,Psg25,Ensembl/Biomart
CEACAM3,Psg26,Ensembl/Biomart
CEACAM3,Psg27,Ensembl/Biomart
CEACAM3,Psg28,Ensembl/Biomart
CEACAM3,Psg29,Ensembl/Biomart
CEACAM4,Ceacam11,Ensembl/Biomart
CEACAM4,Ceacam12,Ensembl/Biomart
CEACAM4,Ceacam13,Ensembl/Biomart
CEACAM4,Ceacam14,Ensembl/Biomart
CEACAM4,Ceacam3,Ensembl/Biomart
CEACAM4,Ceacam5,Ensembl/Biomart
CEACAM4,Gm5155,Ensembl/Biomart
CEACAM4,Psg16,Ensembl/Biomart
CEACAM4,Psg17,Ensembl/Biomart
CEACAM4,Psg18,Ensembl/Biomart
CEACAM4,Psg19,Ensembl/Biomart
CEACAM4,Psg20,Ensembl/Biomart
CEACAM4,Psg21,Ensembl/Biomart
CEACAM4,Psg22,Ensembl/Biomart
CEACAM4,Psg23,Ensembl/Biomart
CEACAM4,Psg25,Ensembl/Biomart
CEACAM4,Psg26,Ensembl/Biomart
CEACAM4,Psg27,Ensembl/Biomart
CEACAM4,Psg28,Ensembl/Biomart
CEACAM4,Psg29,Ensembl/Biomart
CEACAM5,Ceacam11,Ensembl/Biomart
CEACAM5,Ceacam12,Ensembl/Biomart
CEACAM5,Ceacam13,Ensembl/Biomart
CEACAM5,Ceacam14,Ensembl/Biomart
CEACAM5,Ceacam3,Ensembl/Biomart
CEACAM5,Ceacam5,Ensembl/Biomart
CEACAM5,Gm5155,Ensembl/Biomart
CEACAM5,Psg16,Ensembl/Biomart
CEACAM5,Psg17,Ensembl/Biomart
CEACAM5,Psg18,Ensembl/Biomart
CEACAM5,Psg19,Ensembl/Biomart
CEACAM5,Psg20,Ensembl/Biomart
CEACAM5,Psg21,Ensembl/Biomart
CEACAM5,Psg22,Ensembl/Biomart
CEACAM5,Psg23,Ensembl/Biomart
CEACAM5,Psg25,Ensembl/Biomart
CEACAM5,Psg26,Ensembl/Biomart
CEACAM5,Psg27,Ensembl/Biomart
CEACAM5,Psg28,Ensembl/Biomart
CEACAM5,Psg29,Ensembl/Biomart
CEACAM6,Ceacam11,Ensembl/Biomart
CEACAM6,Ceacam12,Ensembl/Biomart
CEACAM6,Ceacam13,Ensembl/Biomart
CEACAM6,Ceacam14,Ensembl/Biomart
CEACAM6,Ceacam3,Ensembl/Biomart
CEACAM6,Ceacam5,Ensembl/Biomart
CEACAM6,Gm5155,Ensembl/Biomart
CEACAM6,Psg16,Ensembl/Biomart
CEACAM6,Psg17,Ensembl/Biomart
CEACAM6,Psg18,Ensembl/Biomart
CEACAM6,Psg19,Ensembl/Biomart
CEACAM6,Psg20,Ensembl/Biomart
CEACAM6,Psg21,Ensembl/Biomart
CEACAM6,Psg22,Ensembl/Biomart
CEACAM6,Psg23,Ensembl/Biomart
CEACAM6,Psg25,Ensembl/Biomart
CEACAM6,Psg26,Ensembl/Biomart
CEACAM6,Psg27,Ensembl/Biomart
CEACAM6,Psg28,Ensembl/Biomart
CEACAM6,Psg29,Ensembl/Biomart
CEACAM7,Ceacam11,Ensembl/Biomart
CEACAM7,Ceacam12,Ensembl/Biomart
CEACAM7,Ceacam13,Ensembl/Biomart
CEACAM7,Ceacam14,Ensembl/Biomart
CEACAM7,Ceacam3,Ensembl/Biomart
CEACAM7,Ceacam5,Ensembl/Biomart
CEACAM7,Gm5155,Ensembl/Biomart
CEACAM7,Psg16,Ensembl/Biomart
CEACAM7,Psg17,Ensembl/Biomart
CEACAM7,Psg18,Ensembl/Biomart
CEACAM7,Psg19,Ensembl/Biomart
CEACAM7,Psg20,Ensembl/Biomart
CEACAM7,Psg21,Ensembl/Biomart
CEACAM7,Psg22,Ensembl/Biomart
CEACAM7,Psg23,Ensembl/Biomart
CEACAM7,Psg25,Ensembl/Biomart
CEACAM7,Psg26,Ensembl/Biomart
CEACAM7,Psg27,Ensembl/Biomart
CEACAM7,Psg28,Ensembl/Biomart
CEACAM7,Psg29,Ensembl/Biomart
CEACAM8,Ceacam11,Ensembl/Biomart
CEACAM8,Ceacam12,Ensembl/Biomart
CEACAM8,Ceacam13,Ensembl/Biomart
CEACAM8,Ceacam14,Ensembl/Biomart
CEACAM8,Ceacam3,Ensembl/Biomart
CEACAM8,Ceacam5,Ensembl/Biomart
CEACAM8,Gm5155,Ensembl/Biomart
CEACAM8,Psg16,Ensembl/Biomart
CEACAM8,Psg17,Ensembl/Biomart
CEACAM8,Psg18,Ensembl/Biomart
CEACAM8,Psg19,Ensembl/Biomart
CEACAM8,Psg20,Ensembl/Biomart
CEACAM8,Psg21,Ensembl/Biomart
CEACAM8,Psg22,Ensembl/Biomart
CEACAM8,Psg23,Ensembl/Biomart
CEACAM8,Psg25,Ensembl/Biomart
CEACAM8,Psg26,Ensembl/Biomart
CEACAM8,Psg27,Ensembl/Biomart
CEACAM8,Psg28,Ensembl/Biomart
CEACAM8,Psg29,Ensembl/Biomart
CEBPZOS,Cebpzos,Ensembl/Biomart
CELA2B,Cela2a,Ensembl/Biomart
CELA3A,Cela3b,Ensembl/Biomart
CELA3B,Cela3a,Ensembl/Biomart
CELF1,Celf1,Ensembl/Biomart
CELF6,Celf6,Ensembl/Biomart
CERS1,Gdf1,Ensembl/Biomart
CES1,Ces1b,Ensembl/Biomart
CES1,Ces1c,Ensembl/Biomart
CES1,Ces1g,Ensembl/Biomart
CES1,Ces1h,Ensembl/Biomart
CES2,Ces2a,Ensembl/Biomart
CES2,Ces2b,Ensembl/Biomart
CES2,Ces2c,Ensembl/Biomart
CES2,Ces2e,Ensembl/Biomart
CES2,Ces2f,Ensembl/Biomart
CES2,Ces2g,Ensembl/Biomart
CFAP46,Cfap46,Ensembl/Biomart
CFAP61,Cfap61,Ensembl/Biomart
CFB,Gm20547,Ensembl/Biomart
CFHR2,Cfhr1,Ensembl/Biomart
CHIA,Chil3,Ensembl/Biomart
CHIA,Chil4,Ensembl/Biomart
CHIA,Chil5,Ensembl/Biomart
CHIA,Chil6,Ensembl/Biomart
CHKB-CPT1B,Chkb,Ensembl/Biomart
CHRFAM7A,Chrna7,Ensembl/Biomart
CHTOP,Chtop,Ensembl/Biomart
CHURC1-FNTB,Fntb,Ensembl/Biomart
CKLF-CMTM1,Cmtm1,Ensembl/Biomart
CKLF-CMTM1,Gm45711,Ensembl/Biomart
CLASRP,Clasrp,Ensembl/Biomart
CLCNKA,Clcnka,Ensembl/Biomart
CLCNKB,Clcnkb,Ensembl/Biomart
CLDN34,Cldn34a,Ensembl/Biomart
CLDN34,Cldn34b1,Ensembl/Biomart
CLDN34,Cldn34b2,Ensembl/Biomart
CLDN34,Cldn34b3,Ensembl/Biomart
CLDN34,Cldn34b4,Ensembl/Biomart
CLDN34,Cldn34c1,Ensembl/Biomart
CLDN34,Cldn34c2,Ensembl/Biomart
CLDN34,Cldn34c3,Ensembl/Biomart
CLDN34,Cldn34c4,Ensembl/Biomart
CLDN34,Cldn34d,Ensembl/Biomart
CLEC18A,Clec18a,Ensembl/Biomart
CLEC18C,Clec18a,Ensembl/Biomart
CLEC2D,Clec2d,Ensembl/Biomart
CLEC2D,Clec2e,Ensembl/Biomart
CLEC2D,Clec2g,Ensembl/Biomart
CLEC2D,Clec2h,Ensembl/Biomart
CLEC2D,Clec2i,Ensembl/Biomart
CLEC4A,Clec4a1,Ensembl/Biomart
CLEC4C,Clec4a2,Ensembl/Biomart
CLEC4C,Clec4a3,Ensembl/Biomart
CLEC4C,Clec4a4,Ensembl/Biomart
CLEC4C,Clec4b2,Ensembl/Biomart
CLEC4M,Cd209f,Ensembl/Biomart
CLEC4M,Cd209g,Ensembl/Biomart
CLUAP1,Gm20695,Ensembl/Biomart
CMC4,Cmc4,Ensembl/Biomart
CMTM1,Cmtm1,Ensembl/Biomart
CMTM1,Gm45711,Ensembl/Biomart
CMTM2,Cmtm2a,Ensembl/Biomart
CMYA5,Cmya5,Ensembl/Biomart
CNGB1,Cngb1,Ensembl/Biomart
CNTNAP3B,Cntnap3,Ensembl/Biomart
CNTNAP3C,Cntnap3,Ensembl/Biomart
COA6,Coa6,Ensembl/Biomart
COL17A1,Col17a1,Ensembl/Biomart
COLQ,Colq,Ensembl/Biomart
COMMD1,Gm28048,Ensembl/Biomart
COMMD6,Commd6,Ensembl/Biomart
COPS2,Cops2,Ensembl/Biomart
COX17,Gm21987,Ensembl/Biomart
COX5B,Cox5b,Ensembl/Biomart
COX5B,Gm11273,Ensembl/Biomart
COX6C,Cox6c,Ensembl/Biomart
COX7B2,Cox7b2,Ensembl/Biomart
COX7C,Cox7c,Ensembl/Biomart
COX8C,Cox8b,Ensembl/Biomart
CPHXL,Cphx1,Ensembl/Biomart
CPHXL,Cphx2,Ensembl/Biomart
CPHXL,Cphx3,Ensembl/Biomart
CPLANE2,Rsg1,Ensembl/Biomart
CR1,Cr1l,Ensembl/Biomart
CRB3,Crb3,Ensembl/Biomart
CRIP2,Crip2,Ensembl/Biomart
CRISP3,Crisp1,Ensembl/Biomart
CRISP3,Crisp3,Ensembl/Biomart
CS,Csl,Ensembl/Biomart
CSH1,Gh,Ensembl/Biomart
CSH2,Gh,Ensembl/Biomart
CSN1S1,Csn1s1,Ensembl/Biomart
CSNK2A1,Gm10031,Ensembl/Biomart
CSNK2A3,Csnk2a1,Ensembl/Biomart
CSNK2A3,Gm10031,Ensembl/Biomart
CSNKA2IP,Csnka2ip,Ensembl/Biomart
CST9L,9230104L09Rik,Ensembl/Biomart
CSTA,2010005H15Rik,Ensembl/Biomart
CSTA,BC100530,Ensembl/Biomart
CSTA,BC117090,Ensembl/Biomart
CSTA,Gm5416,Ensembl/Biomart
CSTA,Gm5483,Ensembl/Biomart
CSTA,Stfa1,Ensembl/Biomart
CSTA,Stfa2,Ensembl/Biomart
CSTA,Stfa2l1,Ensembl/Biomart
CSTA,Stfa3,Ensembl/Biomart
CT45A1,Gm10477,Ensembl/Biomart
CT45A1,Gm648,Ensembl/Biomart
CT45A10,Gm10477,Ensembl/Biomart
CT45A10,Gm648,Ensembl/Biomart
CT45A2,Gm10477,Ensembl/Biomart
CT45A2,Gm648,Ensembl/Biomart
CT45A3,Gm10477,Ensembl/Biomart
CT45A3,Gm648,Ensembl/Biomart
CT45A5,Gm10477,Ensembl/Biomart
CT45A5,Gm648,Ensembl/Biomart
CT45A6,Gm10477,Ensembl/Biomart
CT45A6,Gm648,Ensembl/Biomart
CT45A7,Gm10477,Ensembl/Biomart
CT45A7,Gm648,Ensembl/Biomart
CT45A8,Gm10477,Ensembl/Biomart
CT45A8,Gm648,Ensembl/Biomart
CT45A9,Gm10477,Ensembl/Biomart
CT45A9,Gm648,Ensembl/Biomart
CTAG1A,Ctag2,Ensembl/Biomart
CTAG1A,Gm6880,Ensembl/Biomart
CTAG1A,Gm6890,Ensembl/Biomart
CTAG1B,Ctag2,Ensembl/Biomart
CTAG1B,Gm6880,Ensembl/Biomart
CTAG1B,Gm6890,Ensembl/Biomart
CTAG2,Ctag2,Ensembl/Biomart
CTAG2,Gm6880,Ensembl/Biomart
CTAG2,Gm6890,Ensembl/Biomart
CTNND1,Gm28635,Ensembl/Biomart
CTRB1,Ctrb1,Ensembl/Biomart
CTXND1,Gm2115,Ensembl/Biomart
CTXND2,4930558C23Rik,Ensembl/Biomart
CUX1,Cux1,Ensembl/Biomart
CWC22,Gm13691,Ensembl/Biomart
CWC22,Gm13693,Ensembl/Biomart
CWC22,Gm13694,Ensembl/Biomart
CWC22,Gm13695,Ensembl/Biomart
CWC22,Gm13696,Ensembl/Biomart
CWC22,Gm13697,Ensembl/Biomart
CWC22,Gm13698,Ensembl/Biomart
CXCL11,Cxcl11,Ensembl/Biomart
CXCL9,Cxcl9,Ensembl/Biomart
CXorf49,4933412E24Rik,Ensembl/Biomart
CXorf49,8030474K03Rik,Ensembl/Biomart
CXorf49B,4933412E24Rik,Ensembl/Biomart
CXorf49B,8030474K03Rik,Ensembl/Biomart
CYB5D1,Gm6685,Ensembl/Biomart
CYB5R3,Cyb5r3,Ensembl/Biomart
CYLC1,Cylc1,Ensembl/Biomart
CYLC2,Cylc2,Ensembl/Biomart
CYP2A13,Cyp2a12,Ensembl/Biomart
CYP2A13,Cyp2a22,Ensembl/Biomart
CYP2A13,Cyp2a5,Ensembl/Biomart
CYP2A6,Cyp2a12,Ensembl/Biomart
CYP2A6,Cyp2a22,Ensembl/Biomart
CYP2A7,Cyp2a12,Ensembl/Biomart
CYP2A7,Cyp2a22,Ensembl/Biomart
CYP2A7,Cyp2a5,Ensembl/Biomart
CYP2C8,Cyp2b10,Ensembl/Biomart
CYP2C8,Cyp2b13,Ensembl/Biomart
CYP2C8,Cyp2b19,Ensembl/Biomart
CYP2C8,Cyp2b23,Ensembl/Biomart
CYP2C8,Cyp2b9,Ensembl/Biomart
CYP2C8,Cyp2j11,Ensembl/Biomart
CYP2C8,Cyp2j12,Ensembl/Biomart
CYP2C8,Cyp2j5,Ensembl/Biomart
CYP2C8,Cyp2j6,Ensembl/Biomart
CYP2C8,Cyp2j7,Ensembl/Biomart
CYP2C8,Cyp2j8,Ensembl/Biomart
CYP2D6,Cyp2d10,Ensembl/Biomart
CYP2D6,Cyp2d11,Ensembl/Biomart
CYP2D6,Cyp2d12,Ensembl/Biomart
CYP2D6,Cyp2d22,Ensembl/Biomart
CYP2D6,Cyp2d26,Ensembl/Biomart
CYP2D6,Cyp2d34,Ensembl/Biomart
